Step,Aktual (USD),LSTM Pred (USD),Seq2Seq Pred (USD),Selisih LSTM,Selisih Seq2Seq
1,16617.47,19177.23,16560.57,2559.76,56.9
2,16488.41,19174.5,16572.3,2686.09,83.89
3,16512.51,19203.98,16581.27,2691.47,68.76
4,16603.11,19224.66,16587.85,2621.55,15.26
5,16564.07,19189.1,16593.26,2625.03,29.19
6,16747.83,19167.17,16598.69,2419.34,149.14
7,16695.18,19173.39,16604.84,2478.21,90.34
8,16712.07,19184.92,16611.96,2472.85,100.11
9,16697.69,19166.85,16620.05,2469.16,77.64
10,16655.8,19205.43,16628.94,2549.63,26.86
11,16710.5,19161.99,16638.48,2451.49,72.02
12,16623.9,19164.03,16648.48,2540.13,24.58
13,16590.98,19175.57,16658.82,2584.59,67.84
14,16601.53,19146.33,16669.38,2544.8,67.85
15,16558.61,19213.28,16680.09,2654.67,121.48
16,16572.11,19196.12,16690.9,2624.01,118.79
17,16538.45,19195.77,16701.77,2657.32,163.32
18,16586.23,19159.02,16712.68,2572.79,126.45
19,16532.59,19162.53,16723.62,2629.94,191.03
20,16558.11,19167.28,16734.56,2609.17,176.45
21,16622.53,19152.66,16745.52,2530.13,122.99
22,16586.73,19125.96,16756.48,2539.23,169.75
23,16583.31,19151.55,16767.44,2568.24,184.13
24,16577.41,19166.62,16778.41,2589.21,201.0
