skill,doc_frequency,doc_freq_pct
following,467,0.19234
requires,460,0.18946
position requires,438,0.1804
following skills,430,0.1771
requires following,429,0.17669
management,186,0.07661
communication,181,0.07455
people,128,0.05272
written,123,0.05066
service,120,0.04942
office,119,0.04901
care,116,0.04778
customer,107,0.04407
requirements,104,0.04283
verbal,99,0.04077
healthcare,92,0.03789
community,91,0.03748
people skills,88,0.03624
development,88,0.03624
environment,88,0.03624
computer,88,0.03624
time,84,0.0346
able,82,0.03377
physical,80,0.03295
community outreach,78,0.03213
outreach,78,0.03213
data,78,0.03213
written communication,78,0.03213
microsoft,77,0.03171
customer service,75,0.03089
verbal written,75,0.03089
vision,74,0.03048
school,72,0.02965
employee,71,0.02924
services,70,0.02883
communication skills,70,0.02883
perform,68,0.02801
contact,65,0.02677
patient,63,0.02595
hospice,63,0.02595
medical,63,0.02595
field,63,0.02595
information,62,0.02554
problem,62,0.02554
hospice care,62,0.02554
qualifications,61,0.02512
benefits,61,0.02512
needs,60,0.02471
systems,59,0.0243
excel,59,0.0243
patient care,59,0.0243
building,58,0.02389
software,58,0.02389
equivalent,57,0.02348
fundraising,57,0.02348
basic,57,0.02348
sales,56,0.02306
employment,56,0.02306
essential,56,0.02306
professional,56,0.02306
planning,56,0.02306
certification,56,0.02306
diploma,56,0.02306
writing,55,0.02265
organizational,55,0.02265
high school,55,0.02265
healthcare hospice,54,0.02224
duties,54,0.02224
license,54,0.02224
solving,54,0.02224
school diploma,54,0.02224
industry,54,0.02224
problem solving,53,0.02183
care patient,53,0.02183
attention,53,0.02183
coordination,53,0.02183
elder,53,0.02183
project,52,0.02142
communicate,52,0.02142
elder care,52,0.02142
representative,51,0.021
com,51,0.021
tools,51,0.021
marketing,51,0.021
accounting,50,0.02059
functions,50,0.02059
microsoft office,50,0.02059
multi,49,0.02018
social,49,0.02018
health,48,0.01977
general,48,0.01977
lift,48,0.01977
physical requirements,48,0.01977
word,47,0.01936
procedures,47,0.01936
life,47,0.01936
reasonable,47,0.01936
independently,47,0.01936
volunteer,46,0.01895
orientation,46,0.01895
care healthcare,46,0.01895
response,46,0.01895
technical,46,0.01895
program,46,0.01895
csr volunteer,45,0.01853
needed,45,0.01853
csr,45,0.01853
disaster,45,0.01853
effectively,45,0.01853
related field,45,0.01853
public,45,0.01853
employees,45,0.01853
engineering,45,0.01853
interpersonal,45,0.01853
volunteer coordination,45,0.01853
relationship,45,0.01853
research,45,0.01853
individuals,44,0.01812
transportation,43,0.01771
handling,43,0.01771
networking,43,0.01771
disaster response,42,0.0173
relations,42,0.0173
organizational skills,42,0.0173
english,42,0.0173
safety,42,0.0173
relationship building,42,0.0173
application,41,0.01689
skills community,41,0.01689
resources,41,0.01689
manager,41,0.01689
training,40,0.01647
dental,40,0.01647
sexual orientation,40,0.01647
insurance,40,0.01647
sexual,40,0.01647
competitive,40,0.01647
abilities,39,0.01606
sql,39,0.01606
demands,39,0.01606
disabilities,39,0.01606
identity,38,0.01565
individuals disabilities,38,0.01565
periods,38,0.01565
plan,38,0.01565
equipment,38,0.01565
products,38,0.01565
outreach csr,38,0.01565
process,38,0.01565
successfully,38,0.01565
apply,38,0.01565
analysis,37,0.01524
gender identity,37,0.01524
financial,37,0.01524
regulations,37,0.01524
security,37,0.01524
media,37,0.01524
applicants,36,0.01483
relevant,36,0.01483
communications,36,0.01483
values,36,0.01483
valid,36,0.01483
perform essential,36,0.01483
meet,35,0.01442
local,35,0.01442
change,35,0.01442
skills elder,35,0.01442
essential functions,35,0.01442
success,35,0.01442
therapy,35,0.01442
fast,34,0.014
tasks,34,0.014
design,34,0.014
travel,34,0.014
public relations,34,0.014
comprehensive,34,0.014
administration,34,0.014
description,33,0.01359
paced,33,0.01359
plans,33,0.01359
project management,33,0.01359
proficiency,33,0.01359
enable,33,0.01359
social media,33,0.01359
401k,33,0.01359
sex,33,0.01359
java,33,0.01359
leadership,32,0.01318
solutions,32,0.01318
